    title,release_year,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
21,2008,123,"['drama', 'crime', 'history', 'thriller']",['US'],,tt0478087,6.8,247039.0,40.786,6.7
The Other Boleyn Girl,2008,115,"['romance', 'drama', 'history']","['GB', 'US']",,tt0467200,6.7,111694.0,18.67,6.6
Body of Lies,2008,128,"['drama', 'action', 'thriller']","['GB', 'US']",,tt0758774,7.1,224896.0,16.693,6.6
The Spiderwick Chronicles,2008,96,"['fantasy', 'thriller', 'action', 'drama', 'family']",['US'],,tt0416236,6.5,94628.0,30.838,6.6
Eagle Eye,2008,118,"['thriller', 'action', 'european']","['US', 'DE']",,tt1059786,6.6,185430.0,14.168,6.4
Felon,2008,103,"['crime', 'thriller', 'drama', 'action']",['US'],,tt1117385,7.4,78039.0,12.24,7.2
Open Season 2,2008,76,['comedy'],['US'],,,,,18.986,5.8
From Within,2008,89,"['thriller', 'horror', 'documentation', 'war', 'european']",['US'],,tt1063056,5.6,7585.0,9.543,5.6
First Sunday,2008,96,"['comedy', 'crime', 'drama']",['US'],,tt0486578,4.5,10834.0,10.605,5.7
This Is the Life,2008,97,"['documentation', 'music']",['US'],,tt1178658,6.3,263.0,2.163,7.4
Linewatch,2008,90,"['thriller', 'crime', 'drama']",['US'],,tt1047832,5.4,2862.0,5.456,5.2
Dostana,2008,145,"['drama', 'comedy', 'romance']","['US', 'IN']",,tt1185420,6.5,14944.0,6.172,6.2
Mike Birbiglia: What I Should Have Said Was Nothing,2008,60,['comedy'],['US'],,tt1188112,7.6,1789.0,4.893,7.5
Sorry to Disturb,2008,116,"['thriller', 'comedy', 'drama', 'romance']",['EG'],,tt1282371,8.0,5824.0,4.825,6.4
Jeff Dunham's Very Special Christmas Special,2008,85,"['comedy', 'documentation']",['US'],,tt1295909,7.4,3028.0,4.188,7.0
The Egyptian Nightingale,2008,115,['comedy'],['EG'],,,,,2.176,7.1
Interview with a Serial Killer,2008,44,"['documentation', 'crime']",['US'],,tt6978288,5.9,595.0,1.543,5.1
Public Enemies,2009,143,"['crime', 'drama', 'history', 'action', 'european']",['US'],,tt1152836,7.0,297525.0,111.535,6.7
Sherlock Holmes,2009,129,"['crime', 'action', 'thriller']","['GB', 'US', 'AU', 'DE']",,tt0988045,7.6,620154.0,28.317,7.2
The Blind Side,2009,129,"['drama', 'sport']",['US'],,tt0878804,7.6,323939.0,63.816,7.7
Cloudy with a Chance of Meatballs,2009,90,"['animation', 'drama', 'romance', 'comedy', 'family', 'fantasy', 'scifi']",['US'],,tt0844471,6.9,226225.0,54.58,6.6
Chloe,2009,99,"['thriller', 'drama', 'romance', 'european']","['US', 'CA', 'FR']",,tt1352824,6.3,72916.0,10.688,6.0
Terminator Salvation,2009,110,"['thriller', 'scifi', 'fantasy', 'war', 'action']","['US', 'DE', 'IT', 'GB']",,tt0438488,6.5,357557.0,72.272,6.0
The Final Destination,2009,82,"['horror', 'fantasy', 'scifi', 'action', 'thriller']",['US'],,tt1144884,5.1,104166.0,51.108,5.6
Friday the 13th,2009,97,"['horror', 'thriller']",['US'],,tt0758746,5.5,105938.0,42.83,5.8
The Men Who Stare at Goats,2009,94,"['comedy', 'war']","['GB', 'US']",,tt1234548,6.2,131564.0,17.344,6.0
Gifted Hands: The Ben Carson Story,2009,86,['drama'],['US'],,tt1295085,7.6,10210.0,36.942,7.8
Blood and Bone,2009,93,"['thriller', 'action', 'crime', 'drama', 'sport']",['US'],,tt0346631,6.7,33051.0,26.858,7.4
Did You Hear About the Morgans?,2009,103,"['comedy', 'romance', 'drama']",['US'],,tt1314228,4.9,40289.0,8.795,5.4
Love Happens,2009,109,"['drama', 'romance']","['CA', 'GB', 'US']",,tt4809870,5.6,32837.0,14.783,5.9
And Then Came Lola,2009,71,"['comedy', 'drama', 'romance']",['US'],,tt1123894,3.9,1683.0,5.896,5.4
My Suicide,2009,107,"['comedy', 'drama']",['US'],,tt0492896,7.0,1936.0,5.485,6.1
Jim Gaffigan: King Baby,2009,72,"['comedy', 'documentation']",['US'],,tt1390471,7.7,2548.0,6.123,7.0
Kevin Hart: I'm a Grown Little Man,2009,72,"['comedy', 'documentation']",['US'],,tt1420554,7.5,4333.0,7.107,7.3
Splatter,2009,29,['horror'],['US'],,tt6999072,,,2.047,3.4
Sergio,2009,94,['documentation'],['US'],,tt1333656,7.4,880.0,3.644,8.1
Pomegranates and Myrrh,2009,95,['drama'],"['DE', 'KW', 'PS', 'FR']",,tt1320282,6.3,249.0,2.841,6.7
Inception,2010,148,"['scifi', 'music', 'thriller', 'action']","['GB', 'US']",,tt1375666,8.8,2268288.0,109.09,8.4
The Other Guys,2010,107,"['crime', 'action', 'comedy']",['US'],,tt1386588,6.6,263019.0,50.29,6.3
How to Train Your Dragon,2010,98,"['fantasy', 'animation', 'action', 'comedy', 'family', 'drama']",['US'],,tt0892769,8.1,719717.0,71.782,7.8
The Social Network,2010,121,['drama'],['US'],,tt1285016,7.8,681286.0,33.023,7.3
Grown Ups,2010,102,"['comedy', 'drama', 'european']",['US'],,tt1375670,5.9,247229.0,95.229,6.3
True Grit,2010,110,"['western', 'drama']",['US'],,tt1403865,7.6,333378.0,16.059,7.3
The Book of Eli,2010,118,"['thriller', 'action', 'drama', 'european']",['US'],,tt1037705,6.8,312538.0,25.45,6.8
Shrek Forever After,2010,93,"['fantasy', 'comedy', 'family', 'romance', 'animation']",['US'],,tt0892791,6.3,200354.0,89.833,6.3
Let Me In,2010,116,"['horror', 'drama', 'fantasy', 'thriller', 'european']","['GB', 'US']",,tt1228987,7.1,120208.0,24.49,6.8
How Do You Know,2010,121,"['drama', 'comedy', 'romance']",['US'],,tt1341188,5.4,49599.0,11.864,5.3
A Nightmare on Elm Street,2010,95,"['horror', 'thriller', 'crime', 'drama']",['US'],,tt1179056,5.2,99192.0,46.304,5.5
